STATE,Region,2018_GDP_est_millions
Alabama,5,221126.3
Alaska,8,54011.2
Arizona,6,346791.9
Arkansas,5,128081.7
California,8,2968117.6
Colorado,7,368795.1
Connecticut,1,274179.5
Delaware,2,74973.3
District of Columbia,2,140279.9
Florida,5,1036323.2
Georgia,5,588171.7
Hawaii,8,92027.1
Idaho,7,77004.2
Illinois,3,864587.3
Indiana,3,366706.7
Iowa,4,190150.3
Kansas,4,167041.9
Kentucky,5,208339.9
Louisiana,5,252117.3
Maine,1,64350.7
Maryland,2,412920.9
Massachusetts,1,567254.8
Michigan,3,528008.4
Minnesota,4,368317.1
Mississippi,5,114107
Missouri,4,317749.3
Montana,7,48970
Nebraska,4,122966.2
Nevada,8,165803.4
New Hampshire,1,84711.8
New Jersey,2,624851.9
New Mexico,6,99434.5
New York,2,1676350.2
North Carolina,5,565800.8
North Dakota,4,54714.2
Ohio,3,676192.5
Oklahoma,6,199975.8
Oregon,8,238683.8
Pennsylvania,2,788537.8
Rhode Island,1,61020.9
South Carolina,5,230354
South Dakota,4,51581.1
Tennessee,5,365601.8
Texas,6,1775796.5
Utah,7,177336.2
Vermont,1,33725.3
Virginia,5,534448.8
Washington,8,563150.5
West Virginia,5,77477.1
Wisconsin,3,336971.5
Wyoming,7,39371.1
